Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Cuisines,Price range,Currency,Average Cost for two,Aggregate rating,Rating text,Votes,Primary Cuisine,Budget Category,Normalized Votes,Popularity Score
6310470,Guevarra's,162,san juan city,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",filipino,3,Botswana Pula(P),1000,4.2,Very Good,458,filipino,high,0.6590572208534694,0.7857171662560408
6314605,Sodam Korean Restaurant,162,san juan city,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",korean,3,Botswana Pula(P),700,4.3,Very Good,223,korean,high,0.5819146988425472,0.7765744096527641
18185059,Cafe Arabelle,162,santa rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa","cafe, american, italian, filipino",3,Botswana Pula(P),800,3.6,Good,29,cafe,high,0.36573100514871026,0.6137193015446131
18182702,Nonna's Pasta & Pizzeria,162,santa rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa","italian, pizza",3,Botswana Pula(P),850,4.0,Very Good,72,italian,high,0.46135341995180934,0.6984060259855427
6318213,Balay Dako,162,tagaytay city,"Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",filipino,3,Botswana Pula(P),1200,4.5,Excellent,211,filipino,high,0.5759941169436597,0.8027982350830979
18255654,Hobing Korean Dessert Cafe,162,taguig city,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City","cafe, korean, desserts",2,Botswana Pula(P),600,4.5,Excellent,118,cafe,medium,0.5138995014783042,0.7841698504434913
6308205,Wildflour Cafe + Bakery,162,taguig city,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City","cafe, bakery, american, italian",4,Botswana Pula(P),1500,4.4,Very Good,392,cafe,high,0.6423641878873442,0.8087092563662033
6315438,NIU by Vikings,162,taguig city,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City","seafood, american, mediterranean, japanese",4,Botswana Pula(P),3000,4.7,Excellent,535,seafood,high,0.6757334095366726,0.8607200228610018
6310406,The Food Hall by Todd English,162,taguig city,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City","american, asian, italian, seafood",4,Botswana Pula(P),1800,4.5,Excellent,618,american,high,0.6912146337804587,0.8373643901341377
6600681,Chez Michou,30,brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia","fast food, french",2,Brazilian Real(R$),55,3.0,Average,6,fast food,low,0.20924386175884935,0.48277315852765473
6601005,Cafí© Daniel Briand,30,brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",cafe,1,Brazilian Real(R$),30,3.8,Good,9,cafe,low,0.24759714477070544,0.6062791434312116
6600292,Casa do Biscoito Mineiro,30,brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",bakery,2,Brazilian Real(R$),45,3.7,Good,11,bakery,low,0.26720219521148403,0.5981606585634452
6600441,Maori,30,brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",brazilian,3,Brazilian Real(R$),60,3.8,Good,11,brazilian,low,0.26720219521148403,0.6121606585634451
6600970,Pizza íæ Bessa,30,brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",pizza,2,Brazilian Real(R$),50,3.2,Average,11,pizza,low,0.26720219521148403,0.5281606585634452
6600379,Sushi Loko,30,brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",japanese,3,Brazilian Real(R$),80,3.1,Average,10,japanese,low,0.2578458554302747,0.5113537566290824
6600214,Beirute,30,brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",arabian,3,Brazilian Real(R$),90,3.7,Good,8,arabian,low,0.23626772075600977,0.5888803162268029
6601218,New Koto,30,brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",japanese,4,Brazilian Real(R$),200,3.7,Good,5,japanese,low,0.19266802779474443,0.5758004083384234
6600060,Sandubas Cafí©,30,brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia","brazilian, cafe",1,Brazilian Real(R$),30,0.0,Not rated,2,brazilian,low,0.11813386037800488,0.03544015811340146
6600083,Villa Tevere,30,brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",italian,4,Brazilian Real(R$),150,4.1,Very Good,12,italian,low,0.2758091934674808,0.6567427580402442
6601515,Rovereto,30,brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",pizza,4,Brazilian Real(R$),100,3.1,Average,9,pizza,low,0.24759714477070544,0.5082791434312116
6601361,Buena Carne,30,brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia","bar food, brazilian",3,Brazilian Real(R$),60,3.6,Good,9,bar food,low,0.24759714477070544,0.5782791434312117
6601602,Taco Pep,30,brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia","mexican, grill",4,Brazilian Real(R$),100,4.3,Very Good,29,mexican,low,0.36573100514871026,0.711719301544613
6601589,Coco Bambu,30,brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte","Brasí_lia Shopping, Asa Norte, Brasí_lia",international,4,Brazilian Real(R$),230,4.2,Very Good,17,international,low,0.3108018881727493,0.6812405664518247
6601862,Taypíç,30,brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,"Lago Sul, Brasí_lia","peruvian, latin american",4,Brazilian Real(R$),100,3.6,Good,5,peruvian,low,0.19266802779474443,0.5618004083384234
6601595,Outback Steakhouse,30,brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I","ParkShopping, Guaríç I, Brasí_lia","american, grill",4,Brazilian Real(R$),150,4.0,Very Good,10,american,low,0.2578458554302747,0.6373537566290823
6601158,Manzuíç,30,brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul","Pontí£o Lago Sul, Lago Sul, Brasí_lia",seafood,4,Brazilian Real(R$),240,3.2,Average,6,seafood,low,0.20924386175884935,0.5107731585276547
6600427,Coco Bambu,30,brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasí_lia",international,4,Brazilian Real(R$),230,4.9,Excellent,30,international,low,0.36925689721376886,0.7967770691641307
6600116,Gero,30,brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Brasí_lia",italian,4,Brazilian Real(R$),350,3.3,Average,8,italian,medium,0.23626772075600977,0.5328803162268029
6601457,Brazilian American Burgers,30,brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,"Sudoeste, Brasí_lia","american, burger",2,Brazilian Real(R$),50,3.6,Good,9,american,low,0.24759714477070544,0.5782791434312117
7303219,Pesqueiro Eco Gourmet,30,rio de janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro","seafood, bar food, brazilian",4,Brazilian Real(R$),140,4.0,Very Good,7,seafood,low,0.22360250225021872,0.6270807506750655
7304307,Confeitaria Colombo,30,rio de janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro","desserts, cafe",4,Brazilian Real(R$),100,4.8,Excellent,29,desserts,low,0.36573100514871026,0.781719301544613
7301215,Bibi,30,rio de janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro","juices, healthy food",3,Brazilian Real(R$),60,4.7,Excellent,24,juices,low,0.34612595470793167,0.7618377864123795
7300596,Cervantes,30,rio de janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro","beverages, bar food, fast food",3,Brazilian Real(R$),90,4.5,Excellent,29,beverages,low,0.36573100514871026,0.7397193015446131
7300612,Amir,30,rio de janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",lebanese,4,Brazilian Real(R$),170,4.2,Very Good,11,lebanese,low,0.26720219521148403,0.6681606585634452
7300704,TT Burger,30,rio de janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",burger,3,Brazilian Real(R$),60,4.8,Excellent,19,burger,low,0.32213131218744495,0.7686393936562335
7300955,Braseiro da Gíçvea,30,rio de janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,"Gíçvea, Rio de Janeiro","brazilian, bar food",4,Brazilian Real(R$),100,4.9,Excellent,40,brazilian,low,0.39932067805609295,0.8057962034168279
7300521,Balada Mix,30,rio de janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro","brazilian, healthy food, juices, pizza",3,Brazilian Real(R$),90,4.6,Excellent,21,brazilian,low,0.3323800228470143,0.7437140068541042
7300515,Garota de Ipanema,30,rio de janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro","brazilian, bar food",4,Brazilian Real(R$),120,4.9,Excellent,49,brazilian,low,0.42066012212467124,0.8121980366374014
7300483,Zazíç BistríÇ Tropical,30,rio de janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",brazilian,4,Brazilian Real(R$),170,4.6,Excellent,21,brazilian,low,0.3323800228470143,0.7437140068541042
7301064,Filí© de Ouro,30,rio de janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,"Lagoa, Rio de Janeiro",brazilian,3,Brazilian Real(R$),90,4.3,Very Good,14,brazilian,low,0.2911968377319707,0.6893590513195912
7304312,D.O.C Ristorante,30,rio de janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",italian,4,Brazilian Real(R$),150,4.0,Very Good,5,italian,low,0.19266802779474443,0.6178004083384233
7300004,Sushi Leblon,30,rio de janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",japanese,4,Brazilian Real(R$),250,4.6,Excellent,25,japanese,low,0.35034336088422036,0.749103008265266
7300868,Talho Capixaba,30,rio de janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro","bakery, sandwich, brazilian",4,Brazilian Real(R$),120,4.4,Very Good,13,bakery,low,0.2837780291755889,0.7011334087526767
7302637,Leme Light,30,rio de janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",brazilian,2,Brazilian Real(R$),40,4.2,Very Good,7,brazilian,low,0.22360250225021872,0.6550807506750655
7302140,Shirley,30,rio de janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro","brazilian, seafood",4,Brazilian Real(R$),250,4.2,Very Good,8,brazilian,low,0.23626772075600977,0.6588803162268029
7305048,Quiosque Chopp Brahma,30,rio de janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Madureira, Rio de Janeiro","bar food, brazilian",3,Brazilian Real(R$),70,0.0,Not rated,1,bar food,low,0.07453416741673957,0.02236025022502187
7302898,Aprazí_vel,30,rio de janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",brazilian,4,Brazilian Real(R$),300,4.7,Excellent,44,brazilian,low,0.4093306981099756,0.7807992094329927
7302859,Aconchego Carioca,30,rio de janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro","brazilian, bar food",3,Brazilian Real(R$),85,4.6,Excellent,24,brazilian,low,0.34612595470793167,0.7478377864123794
7301700,Garota de Ipanema,30,rio de janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro","brazilian, bar food",3,Brazilian Real(R$),80,4.3,Very Good,10,brazilian,low,0.2578458554302747,0.6793537566290824
6706313,Cantina Famiglia Mancini,30,sí£o paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, Sí£o Paulo","italian, pizza",4,Brazilian Real(R$),250,4.5,Excellent,49,italian,low,0.42066012212467124,0.7561980366374014
6704326,Templo da Carne - Marcos Bassi,30,sí£o paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000","Bela Vista, Centro","Bela Vista, Centro, Sí£o Paulo","steak, bbq",4,Brazilian Real(R$),250,4.4,Very Good,17,steak,low,0.3108018881727493,0.7092405664518248
6711179,Gopala Hari,30,sí£o paulo,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,"Consolaí_í£o, Sí£o Paulo",indian,3,Brazilian Real(R$),70,3.1,Average,5,indian,low,0.19266802779474443,0.4918004083384233
6702797,Jiquitaia,30,sí£o paulo,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,"Consolaí_í£o, Sí£o Paulo",brazilian,4,Brazilian Real(R$),100,4.1,Very Good,15,brazilian,low,0.2981366696669583,0.6634410009000874
6700475,Skye - Hotel Unique,30,sí£o paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, Sí£o Paulo","beverages, international",4,Brazilian Real(R$),300,4.8,Excellent,59,beverages,low,0.44026517256544984,0.8040795517696349
6713413,Les 3 Brasseurs,30,sí£o paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Itaim Bibi, Sí£o Paulo","french, brazilian, beverages",4,Brazilian Real(R$),120,4.6,Excellent,30,french,low,0.36925689721376886,0.7547770691641306
6714340,Red Steak & Burger,30,sí£o paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Itaim Bibi, Sí£o Paulo","brazilian, grill",3,Brazilian Real(R$),75,3.9,Good,5,brazilian,low,0.19266802779474443,0.6038004083384234
6710645,Cantinho da Gula,30,sí£o paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Itaim Bibi,"Itaim Bibi, Sí£o Paulo",brazilian,2,Brazilian Real(R$),55,0.0,Not rated,0,brazilian,low,0.0,0.0
6700402,Paris 6 Classique,30,sí£o paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Jardim Paulista, Sí£o Paulo",french,4,Brazilian Real(R$),200,3.4,Average,73,french,low,0.4628164367202252,0.6148449310160675
6700846,Kawa Sushi,30,sí£o paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Jardim Paulista, Sí£o Paulo","sushi, japanese",4,Brazilian Real(R$),120,3.5,Good,9,sushi,low,0.24759714477070544,0.5642791434312115
6702159,A Figueira Rubaiyat,30,sí£o paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,"Jardim Paulista, Sí£o Paulo","bbq, grill, brazilian",4,Brazilian Real(R$),300,4.3,Very Good,39,bbq,low,0.3966654796041846,0.7209996438812554
6711666,Kinoshita,30,sí£o paulo,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,"Moema, Sí£o Paulo",sushi,4,Brazilian Real(R$),230,3.9,Good,12,sushi,low,0.2758091934674808,0.6287427580402443
6701257,Meats,30,sí£o paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,"Pinheiros, Sí£o Paulo","gourmet fast food, burger",4,Brazilian Real(R$),120,4.3,Very Good,68,gourmet fast food,low,0.45529378453075225,0.7385881353592256
6706211,Paribar,30,sí£o paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,"Repí_blica, Sí£o Paulo","brazilian, italian",4,Brazilian Real(R$),150,4.3,Very Good,46,brazilian,low,0.41400665540209625,0.7262019966206288
6705858,Terraí_o Itíçlia,30,sí£o paulo,"Edifí_cio Itíçlia - 41Á Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Repí_blica,"Repí_blica, Sí£o Paulo",italian,4,Brazilian Real(R$),400,4.4,Very Good,37,italian,medium,0.39114990787791803,0.7333449723633754
6701419,Divino Fogí£o,30,sí£o paulo,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana","Shopping MetríÇ Santa Cruz, Vila Mariana, Sí£o Paulo","brazilian, mineira",3,Brazilian Real(R$),65,0.0,Not rated,2,brazilian,low,0.11813386037800488,0.03544015811340146
6703956,Super Grill,30,sí£o paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, Sí£o Paulo",brazilian,2,Brazilian Real(R$),50,0.0,Not rated,2,brazilian,low,0.11813386037800488,0.03544015811340146
6709580,Esquina Mocotí_,30,sí£o paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Vila Maria,"Vila Maria, Sí£o Paulo","brazilian, north eastern",4,Brazilian Real(R$),100,4.4,Very Good,22,brazilian,low,0.3371599241527473,0.7171479772458242
6703176,Veloso,30,sí£o paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,"Vila Mariana, Sí£o Paulo","brazilian, bar food, beverages",3,Brazilian Real(R$),70,4.6,Excellent,58,brazilian,low,0.4384579018940549,0.7755373705682164
6713772,Sainte Marie Gastronomia,30,sí£o paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,"Vila SíÇnia, Sí£o Paulo","lebanese, arabian",4,Brazilian Real(R$),120,4.1,Very Good,11,lebanese,low,0.26720219521148403,0.6541606585634452
17284404,Austin's BBQ and Oyster Bar,216,albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany","bbq, burger, seafood",2,Dollar($),25,3.3,Average,35,bbq,low,0.38533605558948886,0.5776008166768466
17284203,BJ's Country Buffet,216,albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","american, bbq",1,Dollar($),10,3.3,Average,25,american,low,0.35034336088422036,0.567103008265266
17284302,El Vaquero Mexican Restaurant,216,albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",mexican,1,Dollar($),0,3.4,Average,45,mexican,low,0.41169409156948694,0.5995082274708461
17284397,Elements Coffee Co - Northwest,216,albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany","coffee and tea, sandwich",1,Dollar($),10,3.4,Average,26,coffee and tea,low,0.3544015811340146,0.5823204743402044
17284094,Chick-fil-A,216,albany,"2703 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",fast food,1,Dollar($),10,3.5,Good,67,fast food,low,0.453723974552934,0.6261171923658801
17284409,Guang Zhou Chinese Restaurant,216,albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","asian, chinese, vegetarian",1,Dollar($),10,3.9,Good,141,asian,low,0.5329004487925135,0.705870134637754
17284139,Harvest Moon,216,albany,"2347 Dawson Road, Albany, GA 31707",Albany,"Albany, Albany","pizza, bar food, sandwich",2,Dollar($),25,3.7,Good,147,pizza,low,0.5373506041369647,0.6792051812410894
17284403,Henry Campbell's Steakhouse,216,albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","steak, tapas, bar food",4,Dollar($),70,3.5,Good,51,steak,low,0.42487752830095993,0.6174632584902879
17284145,Hong Kong Cafe,216,albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","chinese, seafood, vegetarian",2,Dollar($),25,3.6,Good,88,chinese,low,0.48266339968982686,0.648799019906948
17284150,House of China Restaurant II,216,albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,"Albany, Albany",chinese,1,Dollar($),10,3.8,Good,153,chinese,low,0.5416238846058636,0.694487165381759
17284175,Locos Grill & Pub,216,albany,"547 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","american, burger, sandwich",2,Dollar($),25,3.5,Good,57,american,low,0.4366197362149171,0.620985920864475
17284179,Longhorn Steakhouse,216,albany,"2733 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","american, steak",2,Dollar($),25,3.5,Good,58,american,low,0.4384579018940549,0.6215373705682163
17284197,Mikata Japanese Steakhouse,216,albany,"2610 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","japanese, steak, sushi",3,Dollar($),40,3.6,Good,115,japanese,low,0.5111539036316567,0.657346171089497
